School_Name,Stu_Number,Tea_Number,Class,Address,Access,url
有功中学校,308人,25人,12学級/平均25.7人,和歌山市六十谷１２３８,六十谷駅から1.1km,https://www.gaccom.jp/schools-22768.html
海南市海南中学校,133人,17人,8学級/平均16.6人,海南市日方９６２-２,海南駅から669m,https://www.gaccom.jp/schools-41795.html
河西中学校,452人,36人,17学級/平均26.6人,和歌山市松江北５丁目１９-１,中松江駅から279m,https://www.gaccom.jp/schools-22759.html
加太中学校,39人,14人,5学級/平均7.8人,和歌山市加太２６９２-１,加太駅から306m,https://www.gaccom.jp/schools-22764.html
河北中学校,382人,28人,15学級/平均25.5人,和歌山市北島３７０-１,東松江駅から1.3km,https://www.gaccom.jp/schools-22758.html
紀伊中学校,526人,38人,19学級/平均27.7人,和歌山市北野５４４,紀伊駅から272m,https://www.gaccom.jp/schools-22763.html
貴志中学校,609人,39人,21学級/平均29.0人,和歌山市梅原５７９-２,大学口バス停から344m,https://www.gaccom.jp/schools-22769.html
紀之川中学校,449人,32人,18学級/平均24.9人,和歌山市有本６６８-１,紀伊中ノ島駅から360m,https://www.gaccom.jp/schools-22760.html
楠見中学校,386人,36人,18学級/平均21.4人,和歌山市善明寺７０６,紀ノ川駅から1.8km,https://www.gaccom.jp/schools-22767.html
城東中学校,217人,18人,10学級/平均21.7人,和歌山市美園町２丁目６３,和歌山駅から590m,https://www.gaccom.jp/schools-22755.html
西和中学校,336人,28人,14学級/平均24.0人,和歌山市砂山南３丁目３-９,和歌山港駅から1.7km,https://www.gaccom.jp/schools-22754.html
高積中学校,456人,32人,17学級/平均26.8人,和歌山市布施屋１１２-２,布施屋駅から407m,https://www.gaccom.jp/schools-22766.html
東和中学校,308人,28人,12学級/平均25.7人,和歌山市杭ノ瀬１１６,宮前駅から247m,https://www.gaccom.jp/schools-22753.html
西浜中学校,464人,31人,19学級/平均24.4人,和歌山市西小二里１-６-１,和歌山工業高校前バス停から251m,https://www.gaccom.jp/schools-22756.html
西脇中学校,422人,29人,16学級/平均26.4人,和歌山市西庄１１１０-５,西ノ庄駅から1.1km,https://www.gaccom.jp/schools-22761.html
西脇中学校みらい分校,9人,6人,2学級/平均4.5人,和歌山市つつじが丘７-２-１,磯ノ浦駅から627m,https://www.gaccom.jp/schools-22762.html
日進中学校,629人,44人,24学級/平均26.2人,和歌山市秋月３６５-３,日前宮駅から285m,https://www.gaccom.jp/schools-22751.html
東中学校,626人,43人,24学級/平均26.1人,和歌山市松原３３７,岡崎前駅から305m,https://www.gaccom.jp/schools-22765.html
伏虎義務教育学校,216人,19人,10学級/平均21.6人,和歌山市鷺ノ森南ノ丁1,和歌山市駅から403m,https://www.gaccom.jp/schools-22752.html
明和中学校,465人,30人,18学級/平均25.8人,和歌山市紀三井寺８３２-１,紀三井寺駅から710m,https://www.gaccom.jp/schools-22757.html
県立和歌山県立桐蔭中学校,241人,12人,6学級/平均40.2人,和歌山市吹上五丁目６番１８号,宮前駅から1.4km,https://www.gaccom.jp/schools-22750.html
県立和歌山県立向陽中学校,240人,11人,6学級/平均40.0人,和歌山市太田127番地,日前宮駅から224m,https://www.gaccom.jp/schools-22749.html
